IDfg,Season,Name,Team,Age,AB,PA,BIP,H,1B,2B,3B,HR,BB,SO,HBP,SF,GDP,AVG,GB,FB,LD,IFFB,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,F-Strike%,SwStr%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CSW%
15640,2025,Aaron Judge,NYY,33,541,679,335,179,94,30,2,53,124,160,7,7,16,0.331,132,180,76,12,6,0,0,0.183,0.23600000000000002,0.78,0.457,0.688,1.144,0.357,0.376,0.0073,0.196,0.34,0.46399999999999997,0.067,0.294,0.045,0.0,0.463,0.257,0.703,0.43700000000000006,0.444,0.802,0.6759999999999999,0.5539999999999999,0.141,0.366,0.374,0.26,0.098,0.446,0.456,95.4,19.1,96.0,0.247,118.1,226.0,0.5820000000000001,388,0.292
21534,2025,Cal Raleigh,SEA,28,596,705,351,147,63,24,0,60,97,188,9,3,6,0.247,103,237,71,33,7,0,0,0.138,0.267,0.52,0.359,0.589,0.948,0.342,0.248,0.0043,0.17300000000000001,0.251,0.5770000000000001,0.139,0.253,0.068,0.0,0.392,0.35700000000000004,0.769,0.517,0.5579999999999999,0.8270000000000001,0.713,0.603,0.14800000000000002,0.555,0.251,0.195,0.19,0.428,0.382,91.3,25.2,80.0,0.195,114.7,204.0,0.496,411,0.254
25764,2025,Bobby Witt Jr.,KCR,25,623,687,482,184,108,47,6,23,49,125,8,7,7,0.295,187,216,102,23,17,0,0,0.071,0.182,0.39,0.351,0.501,0.852,0.205,0.334,0.0087,0.20199999999999999,0.37,0.428,0.106,0.106,0.091,0.0,0.36,0.345,0.737,0.511,0.65,0.868,0.7829999999999999,0.622,0.111,0.349,0.368,0.28300000000000003,0.14300000000000002,0.45299999999999996,0.40399999999999997,93.3,15.2,63.0,0.125,117.5,245.0,0.485,505,0.25
19755,2025,Shohei Ohtani,LAD,30,611,727,371,172,83,25,9,55,109,187,3,2,9,0.282,167,187,72,10,15,0,0,0.15,0.257,0.58,0.392,0.622,1.014,0.34,0.315,0.0089,0.16899999999999998,0.392,0.439,0.053,0.294,0.09,0.0,0.418,0.29600000000000004,0.675,0.449,0.522,0.7879999999999999,0.684,0.5820000000000001,0.142,0.455,0.371,0.174,0.099,0.44799999999999995,0.45299999999999996,94.9,15.0,100.0,0.23399999999999999,120.0,250.0,0.584,428,0.289
22799,2025,Geraldo Perdomo,ARI,25,597,720,505,173,115,33,5,20,94,83,10,11,11,0.29,193,202,120,28,12,18,5,0.131,0.115,1.13,0.389,0.462,0.851,0.173,0.303,0.0096,0.233,0.375,0.392,0.139,0.099,0.062,0.278,0.37,0.21899999999999997,0.5870000000000001,0.392,0.802,0.937,0.897,0.586,0.04,0.43200000000000005,0.315,0.253,0.159,0.5589999999999999,0.281,87.6,15.5,33.0,0.062,108.2,170.0,0.319,533,0.254
16252,2025,Trea Turner,PHI,32,589,639,469,179,126,31,7,15,43,107,5,2,11,0.304,232,159,93,14,32,0,0,0.067,0.16699999999999998,0.4,0.355,0.457,0.812,0.153,0.35,0.0146,0.192,0.479,0.32899999999999996,0.08800000000000001,0.094,0.138,0.0,0.352,0.34700000000000003,0.752,0.514,0.584,0.893,0.7709999999999999,0.635,0.11800000000000001,0.39899999999999997,0.366,0.23600000000000002,0.128,0.5429999999999999,0.32899999999999996,89.3,9.1,28.0,0.057999999999999996,111.7,204.0,0.42100000000000004,484,0.25
25878,2025,Corbin Carroll,ARI,24,564,642,384,146,66,32,17,31,67,153,7,4,6,0.259,144,188,83,24,10,0,0,0.10400000000000001,0.23800000000000002,0.44,0.343,0.541,0.883,0.282,0.299,0.0077,0.2,0.34700000000000003,0.45299999999999996,0.128,0.165,0.069,0.0,0.371,0.35,0.6809999999999999,0.488,0.6920000000000001,0.8320000000000001,0.774,0.597,0.11,0.455,0.32299999999999995,0.222,0.16399999999999998,0.44799999999999995,0.38799999999999996,92.1,16.7,60.0,0.145,115.8,207.0,0.499,415,0.258
13510,2025,Jose Ramirez,CLE,32,593,673,494,168,101,34,3,30,66,74,8,5,9,0.283,175,243,106,29,15,0,0,0.098,0.11,0.89,0.36,0.503,0.863,0.219,0.279,0.0072,0.20199999999999999,0.33399999999999996,0.46399999999999997,0.11900000000000001,0.12300000000000001,0.086,0.0,0.36,0.32299999999999995,0.6759999999999999,0.46799999999999997,0.769,0.927,0.862,0.557,0.064,0.5379999999999999,0.284,0.177,0.172,0.519,0.309,88.9,19.2,37.0,0.07,111.6,194.0,0.37,525,0.21899999999999997
12916,2025,Francisco Lindor,NYM,31,644,732,489,172,106,35,0,31,65,131,16,7,9,0.267,194,207,114,27,11,5,5,0.08900000000000001,0.179,0.5,0.346,0.466,0.811,0.199,0.288,0.009399999999999999,0.221,0.377,0.402,0.13,0.15,0.057,1.0,0.35,0.307,0.6779999999999999,0.473,0.6829999999999999,0.88,0.81,0.608,0.09,0.43700000000000006,0.34600000000000003,0.217,0.177,0.494,0.32899999999999996,90.5,15.1,46.0,0.08800000000000001,112.9,231.0,0.444,520,0.252
19709,2025,Fernando Tatis Jr.,SDP,26,594,691,442,159,105,27,2,25,89,129,6,2,6,0.268,228,158,80,13,17,1,1,0.129,0.187,0.69,0.368,0.446,0.814,0.178,0.303,0.0144,0.172,0.489,0.33899999999999997,0.08199999999999999,0.158,0.075,1.0,0.353,0.27899999999999997,0.7190000000000001,0.45399999999999996,0.562,0.861,0.75,0.5720000000000001,0.113,0.385,0.377,0.23800000000000002,0.12,0.499,0.381,93.3,9.4,51.0,0.109,113.4,242.0,0.518,467,0.252
